"Symbol","Company Name","Sector","Industry"
"BYND","Beyond Meat Inc","Consumer Staples","Food Products"
"BYSI","Beyondspring Inc","Health Care","Biotechnology"
"BZH","Beazer Homes USA, Inc.","Consumer Discretionary","Household Durables"
"BZM","Blackrock Maryland Municipal Bond Trust","",""
"BZUN","Baozun Inc (ADR)","Consumer Discretionary","Internet & Direct Marketing Retail"
"C","Citigroup Inc","Financials","Banks"
"C-N","Citigroup Capital XIII","",""
"CAAP","Corporacion America Airports SA","Industrials","Transportation Infrastructure"
"CAAS","China Automotive Systems, Inc.","Consumer Discretionary","Auto Components"
"CABA","Cabaletta Bio Inc","Health Care","Biotechnology"
"CABO","Cable One Inc","Communication Services","Media"
"CAC","Camden National Corporation","Financials","Banks"
"CACC","Credit Acceptance Corp.","Financials","Consumer Finance"
"CACI","CACI International Inc","Information Technology","IT Services"
"CADE","Cadence Bancorp","Financials","Banks"
"CAF","Morgan Stanley China A Share Fund, Inc.","",""
"CAG","Conagra Brands Inc","Consumer Staples","Food Products"
"CAH","Cardinal Health Inc","Health Care","Health Care Providers & Services"
"CAI","CAI International Inc","Industrials","Trading Companies & Distributors"
"CAI-A","CAI International Inc","Industrials","Trading Companies & Distributors"
"CAI-B","CAI International Inc","Industrials","Trading Companies & Distributors"
"CAJ","Canon Inc (ADR)","Information Technology","Technology Hardware, Storage & Peripherals"
"CAKE","Cheesecake Factory Inc","Consumer Discretionary","Hotels, Restaurants & Leisure"
"CAL","Caleres Inc","Consumer Discretionary","Specialty Retail"
"CALA","Calithera Biosciences Inc","Health Care","Biotechnology"
"CALB","California BanCorp","Financials","Banks"
"CALM","Cal-Maine Foods Inc","Consumer Staples","Food Products"
"CALX","Calix Inc","Information Technology","Communications Equipment"
"CAMP","CalAmp Corp.","Information Technology","Communications Equipment"
"CAMT","Camtek LTD.","Information Technology","Semiconductors & Semiconductor Equipment"
"CAN","Canaan Inc","Information Technology","Technology Hardware, Storage & Peripherals"
"CANG","Cango Inc - ADR","Consumer Discretionary","Internet & Direct Marketing Retail"
"CAPL","Crossamerica Partners LP","Energy","Oil, Gas & Consumable Fuels"
"CAPR","Capricor Therapeutics Inc","Health Care","Biotechnology"
"CAR","Avis Budget Group Inc.","Industrials","Road & Rail"
"CARA","Cara Therapeutics Inc","Health Care","Pharmaceuticals"
"CARE","Carter Bank and Trust","Financials","Banks"
"CARG","CarGurus Inc","Communication Services","Interactive Media & Services"
"CARR","Carrier Global Corp","",""
"CARS","Cars.com Inc","Communication Services","Interactive Media & Services"
"CARV","Carver Bancorp Inc","Financials","Thrifts & Mortgage Finance"
"CASA","Casa Systems Inc","Information Technology","Communications Equipment"
"CASH","Meta Financial Group Inc.","Financials","Thrifts & Mortgage Finance"
"CASI","CASI Pharmaceuticals Inc","Health Care","Biotechnology"
"CASS","Cass Information Systems","Information Technology","IT Services"
"CASY","Casey's General Stores Inc","Consumer Staples","Food & Staples Retailing"
"CAT","Caterpillar Inc.","Industrials","Machinery"
"CATB","Catabasis Pharmaceuticals Inc","Health Care","Biotechnology"
"CATC","Cambridge Bancorp","Financials","Banks"
"CATM","Cardtronics PLC","Information Technology","IT Services"
"CATO","Cato Corp","Consumer Discretionary","Specialty Retail"
"CATS","Catasys, Inc.","Health Care","Health Care Providers & Services"
"CATY","Cathay General Bancorp","Financials","Banks"
"CB","Chubb Ltd","Financials","Insurance"
"CBAN","Colony Bankcorp Inc","Financials","Banks"
"CBAT","CBAK Energy Technology Inc","Industrials","Electrical Equipment"
"CBAY","CymaBay Therapeutics Inc","Health Care","Pharmaceuticals"
"CBB","Cincinnati Bell Inc.","Communication Services","Diversified Telecommunication Services"
"CBD","Companhia Brasileira de Distribuicao","Consumer Staples","Food & Staples Retailing"
"CBFV","CB Financial Services Inc","Financials","Banks"
"CBIO","Catalyst Biosciences Inc","Health Care","Biotechnology"
"CBL","CBL & Associates Properties, Inc.","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CBLI","Cleveland BioLabs, Inc.","Health Care","Biotechnology"
"CBMB","CBM Bancorp Inc","Financials","Thrifts & Mortgage Finance"
"CBMG","Cellular Biomedicine Group Inc","Health Care","Biotechnology"
"CBNK","Capital Bancorp Inc","Financials","Banks"
"CBPO","China Biologic Products Holdings Inc","Health Care","Biotechnology"
"CBRE","CBRE Group Inc","Real Estate","Real Estate Management & Development"
"CBRL","Cracker Barrel Old Country Store, Inc.","Consumer Discretionary","Hotels, Restaurants & Leisure"
"CBSH","Commerce Bancshares, Inc.","Financials","Banks"
"CBT","Cabot Corp","Materials","Chemicals"
"CBTX","CBTX Inc","Financials","Banks"
"CBU","Community Bank System, Inc.","Financials","Banks"
"CBZ","CBIZ, Inc.","Industrials","Professional Services"
"CC","Chemours Co","Materials","Chemicals"
"CCAC","CITIC Capital Acquisition Corp","",""
"CCAP","Crescent Capital BDC Inc","",""
"CCB","Coastal Financial Corp (EVERETT)","Financials","Banks"
"CCBG","Capital City Bank Group, Inc.","Financials","Banks"
"CCC","CLARIVATE PLC","Industrials","Professional Services"
"CCCL","China Ceramics Co Ltd","Industrials","Building Products"
"CCD","Calamos Dynamic Convertible & Incm Fd","",""
"CCEP","Coca-Cola European Partners PLC","Consumer Staples","Beverages"
"CCF","Chase Corporation","Materials","Chemicals"
"CCI","Crown Castle International Corp","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CCI-A","Crown Castle International Corp","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CCK","Crown Holdings, Inc.","Materials","Containers & Packaging"
"CCL","Carnival Corp","Consumer Discretionary","Hotels, Restaurants & Leisure"
"CCLP","CSI Compressco LP","Energy","Energy Equipment & Services"
"CCM","Concord Medical Services Hldg Ltd (ADR)","Health Care","Health Care Providers & Services"
"CCMP","Cabot Microelectronics Corporation","Information Technology","Semiconductors & Semiconductor Equipment"
"CCNC","Code Chain New Continent Ltd","Industrials","Machinery"
"CCNE","CNB Financial Corp","Financials","Banks"
"CCO","Clear Channel Outdoor Holdings Inc","Communication Services","Media"
"CCOI","Cogent Communications Holdings Inc","Communication Services","Diversified Telecommunication Services"
"CCR","CONSOL Coal Resources LP","Energy","Oil, Gas & Consumable Fuels"
"CCRC","China Customer Relations Centers Inc","Industrials","Commercial Services & Supplies"
"CCRN","Cross Country Healthcare, Inc.","Health Care","Health Care Providers & Services"
"CCS","Century Communities Inc","Consumer Discretionary","Household Durables"
"CCU","Compania Cervecerias Unidas S.A. (ADR)","Consumer Staples","Beverages"
"CCXI","ChemoCentryx Inc","Health Care","Biotechnology"
"CCXX","Churchill Capital III Corp","",""
"CDAY","Ceridian HCM Holding Inc","Information Technology","Software"
"CDE","Coeur Mining Inc","Materials","Metals & Mining"
"CDEV","Centennial Resource Development Inc","Energy","Oil, Gas & Consumable Fuels"
"CDK","CDK Global Inc","Information Technology","Software"
"CDLX","Cardlytics Inc","Communication Services","Media"
"CDMO","Avid Bioservices Inc","Health Care","Biotechnology"
"CDNA","CareDx Inc","Health Care","Biotechnology"
"CDNS","Cadence Design Systems Inc","Information Technology","Software"
"CDOR","Condor Hospitality Trust Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CDR","Cedar Realty Trust Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CDR-B","Cedar Realty Trust Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CDR-C","Cedar Realty Trust Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CDTX","Cidara Therapeutics Inc","Health Care","Biotechnology"
"CDW","CDW Corp","Information Technology","Electronic Equipment, Instruments & Components"
"CDXC","Chromadex Corp","Health Care","Life Sciences Tools & Services"
"CDXS","Codexis, Inc.","Health Care","Life Sciences Tools & Services"
"CDZI","Cadiz Inc","Utilities","Water Utilities"
"CE","Celanese Corporation","Materials","Chemicals"
"CEA","China Eastern Airlines Corp. Ltd.  (ADR)","Industrials","Airlines"
"CECE","CECO Environmental Corp.","Industrials","Commercial Services & Supplies"
"CEE","Central and Eastern Europe Fund Inc","",""
"CEI","Camber Energy Inc","Energy","Oil, Gas & Consumable Fuels"
"CEIX","Consol Energy Inc","Energy","Oil, Gas & Consumable Fuels"
"CEL","Cellcom Israel Ltd.","Communication Services","Wireless Telecommunication Services"
"CELC","Celcuity Inc","Health Care","Biotechnology"
"CELH","Celsius Holdings, Inc.","Consumer Staples","Beverages"
"CELP","Cypress Environmental Partners LP","Energy","Energy Equipment & Services"
"CEM","Clearbridge MLP and Midstream Fund Inc","",""
"CEMI","Chembio Diagnostics Inc","Health Care","Health Care Equipment & Supplies"
"CENT","Central Garden & Pet Co","Consumer Staples","Household Products"
"CENX","Century Aluminum Co","Materials","Metals & Mining"
"CEO","CNOOC Ltd (ADR)","Energy","Oil, Gas & Consumable Fuels"
"CEQP","Crestwood Equity Partners LP","Energy","Oil, Gas & Consumable Fuels"
"CERC","Cerecor Inc","Health Care","Pharmaceuticals"
"CERN","Cerner Corporation","Health Care","Health Care Technology"
"CERS","Cerus Corporation","Health Care","Health Care Equipment & Supplies"
"CET","Central Securities Corp.","",""
"CETV","Central European Media Enterprises Ltd.","Communication Services","Media"
"CETX","Cemtrex Inc","Information Technology","Electronic Equipment, Instruments & Components"
"CEV","Eaton Vance California Mun. Income Trust","",""
"CEVA","CEVA, Inc.","Information Technology","Semiconductors & Semiconductor Equipment"
"CF","CF Industries Holdings, Inc.","Materials","Chemicals"
"CFB","Crossfirst Bankshares Inc","Financials","Banks"
"CFBI","Commnty Frst Bnshrs Inc (CVINGTN)","Financials","Banks"
"CFBK","Central Federal Corporation","Financials","Thrifts & Mortgage Finance"
"CFFA","CF Finance Acquisition Corp","",""
"CFFI","C&F Financial Corp","Financials","Banks"
"CFFN","Capitol Federal Financial, Inc.","Financials","Thrifts & Mortgage Finance"
"CFG","Citizens Financial Group Inc","Financials","Banks"
"CFMS","ConforMIS Inc","Health Care","Health Care Equipment & Supplies"
"CFR","Cullen/Frost Bankers, Inc.","Financials","Banks"
"CFRX","ContraFect Corp","Health Care","Biotechnology"
"CFX","Colfax Corp","Industrials","Machinery"
"CG","Carlyle Group Inc","Financials","Capital Markets"
"CGA","China Green Agriculture, Inc","Materials","Chemicals"
"CGBD","TCG BDC Inc","Financials","Capital Markets"
"CGIX","Cancer Genetics Inc","Health Care","Biotechnology"
"CGNX","Cognex Corporation","Information Technology","Electronic Equipment, Instruments & Components"
"CGO","Calamos Global Total Return Fund","",""
"CGROU","Collective Growth Corp","",""
"CHA","China Telecom Corporation Limited (ADR)","Communication Services","Diversified Telecommunication Services"
"CHAP","Chaparral Energy Inc","Energy","Oil, Gas & Consumable Fuels"
"CHCI","Comstock Holding Companies Inc","Consumer Discretionary","Household Durables"
"CHCO","City Holding Company","Financials","Banks"
"CHCT","Community Healthcare Trust Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CHD","Church & Dwight Co., Inc.","Consumer Staples","Household Products"
"CHDN","Churchill Downs, Inc.","Consumer Discretionary","Hotels, Restaurants & Leisure"
"CHE","Chemed Corporation","Health Care","Health Care Providers & Services"
"CHEF","Chefs' Warehouse Inc","Consumer Staples","Food & Staples Retailing"
"CHEK","Check Cap Ltd","Health Care","Health Care Equipment & Supplies"
"CHFS","CHF Solutions Inc","Health Care","Health Care Equipment & Supplies"
"CHGG","Chegg Inc","Consumer Discretionary","Diversified Consumer Services"
"CHH","Choice Hotels International Inc","Consumer Discretionary","Hotels, Restaurants & Leisure"
"CHI","Calamos Conv. Opptys. & Income Fund","",""
"CHK","Chesapeake Energy Corporation","Energy","Oil, Gas & Consumable Fuels"
"CHK-D","Chesapeake Energy Corp","Energy","Oil, Gas & Consumable Fuels"
"CHKP","Check Point Software Technologies Ltd.","Information Technology","Software"
"CHL","China Mobile Ltd. (ADR)","Communication Services","Wireless Telecommunication Services"
"CHMA","Chiasma Inc","Health Care","Pharmaceuticals"
"CHMG","Chemung Financial Corp.","Financials","Banks"
"CHMI","Cherry Hill Mortgage Investment Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"CHMI-A","Cherry Hill Mortgage Investment Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"CHMI-B","Cherry Hill Mortgage Investment Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"CHN","China Fund Inc","",""
"CHNG","Change Healthcare Inc","Health Care","Health Care Technology"
"CHNR","China Natural Resources Inc","Materials","Metals & Mining"
"CHPM","CHP Merger Corp","",""
"CHRA","Charah Solutions Inc","Industrials","Commercial Services & Supplies"
"CHRS","Coherus Biosciences Inc","Health Care","Biotechnology"
"CHRW","C.H. Robinson Worldwide Inc","Industrials","Air Freight & Logistics"
"CHS","Chico's FAS, Inc.","Consumer Discretionary","Specialty Retail"
"CHSCP","CHS Inc","Consumer Staples","Food Products"
"CHT","Chunghwa Telecom Co., Ltd (ADR)","Communication Services","Diversified Telecommunication Services"
"CHTR","Charter Communications Inc","Communication Services","Media"
"CHU","China Unicom (Hong Kong) Limited (ADR)","Communication Services","Diversified Telecommunication Services"
"CHUY","Chuy's Holdings Inc","Consumer Discretionary","Hotels, Restaurants & Leisure"
"CHW","Calamos Global Dynamic Income Fund","",""
"CHWY","Chewy Inc","Consumer Discretionary","Internet & Direct Marketing Retail"
"CHX","ChampionX Corp","Energy","Energy Equipment & Services"
"CHY","Calamos Convertible & Hi Income Fund","",""
"CI","Cigna Corp","Health Care","Health Care Providers & Services"
"CIA","Citizens, Inc.","Financials","Insurance"
"CIB","Bancolombia SA (ADR)","",""
"CIDM","Cinedigm Corp","Communication Services","Entertainment"
"CIEN","Ciena Corporation","Information Technology","Communications Equipment"
"CIF","MFS Intermediate High Income Fund","",""
"CIG","Companhia Energetica de Minas Gers CEMIG","Utilities","Electric Utilities"
"CIG.C","CIA ENERGETICA DE MINAS","Utilities","Electric Utilities"
"CIGI","Colliers International Group Inc","Real Estate","Real Estate Management & Development"
"CIH","China Index Holdings Ltd - ADR","Industrials","Professional Services"
"CII","BlackRock Enhanced Capital and Income Fd","",""
"CIIC","CIIG Merger Corp","",""
"CIK","Credit Suisse Asset Management In FndInc","",""
"CIM","Chimera Investment Corporation","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"CIM-A","Chimera Investment Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"CIM-B","Chimera Investment Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"CIM-C","Chimera Investment Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"CIM-D","Chimera Investment Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"CINF","Cincinnati Financial Corporation","Financials","Insurance"
"CINR","Ciner Resources LP","Materials","Chemicals"
"CIO","City Office REIT Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CIO-A","City Office REIT Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CIR","CIRCOR International, Inc.","Industrials","Machinery"
"CIT","CIT Group Inc.","Financials","Banks"
"CIT-B","CIT Group Inc","Financials","Banks"
"CIVB","Civista Bancshares Inc","Financials","Banks"
"CIX","CompX International Inc.","Industrials","Commercial Services & Supplies"
"CIZN","Citizens Holding Company","Financials","Banks"
"CJJD","China Jo-Jo Drugstores Inc","Consumer Staples","Food & Staples Retailing"
"CKH","Seacor Holdings, Inc.","Energy","Energy Equipment & Services"
"CKPT","Checkpoint Therapeutics Inc","Health Care","Biotechnology"
"CKX","CKX Lands Inc","Real Estate","Real Estate Management & Development"
"CL","Colgate-Palmolive Company","Consumer Staples","Household Products"
"CLAR","Clarus Corp","Consumer Discretionary","Leisure Products"
"CLB","Core Laboratories N.V.","Energy","Energy Equipment & Services"
"CLBK","Columbia Financial Inc","Financials","Thrifts & Mortgage Finance"
"CLBS","Caladrius Biosciences Inc","Health Care","Biotechnology"
"CLCT","Collectors Universe, Inc.","Consumer Discretionary","Diversified Consumer Services"
"CLDB","CORTLAND BANCORP INC","Financials","Banks"
"CLDR","Cloudera Inc","Information Technology","Software"
"CLDT","Chatham Lodging Trust","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CLDX","Celldex Therapeutics, Inc.","Health Care","Biotechnology"
"CLEU","China Liberal Education Holdings Ltd","Consumer Discretionary","Diversified Consumer Services"
"CLF","Cleveland-Cliffs Inc","Materials","Metals & Mining"
"CLFD","Clearfield Inc","Information Technology","Communications Equipment"
"CLGX","Corelogic Inc","Information Technology","IT Services"
"CLH","Clean Harbors Inc","Industrials","Commercial Services & Supplies"
"CLI","Mack Cali Realty Corp","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CLIR","Clearsign Technologies Corp","Information Technology","Electronic Equipment, Instruments & Components"
"CLLS","Cellectis SA (ADR)","Health Care","Biotechnology"
"CLM","Cornerstone Strategic Value Fund Inc.","",""
"CLMT","Calumet Specialty Products Partners, L.P","Energy","Oil, Gas & Consumable Fuels"
"CLNC","Colony Credit Real Estate Inc","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"CLNE","Clean Energy Fuels Corp","Energy","Oil, Gas & Consumable Fuels"
"CLNY","Colony Capital Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CLNY-G","Colony Capital Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CLNY-H","Colony Capital Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CLNY-I","Colony Capital Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CLNY-J","Colony Capital Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CLPR","Clipper Realty Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CLPS","CLPS Inc","Information Technology","IT Services"
"CLPT","Clearpoint Neuro Inc","Health Care","Health Care Equipment & Supplies"
"CLR","Continental Resources, Inc.","Energy","Oil, Gas & Consumable Fuels"
"CLRB","Cellectar Biosciences Inc","Health Care","Biotechnology"
"CLRO","Clearone Inc","Information Technology","Communications Equipment"
"CLSD","Clearside Biomedical Inc","Health Care","Pharmaceuticals"
"CLSK","CleanSpark Inc","",""
"CLSN","Celsion Corporation","Health Care","Biotechnology"
"CLUB","Town Sports International Holdings, Inc.","Consumer Discretionary","Hotels, Restaurants & Leisure"
"CLVS","Clovis Oncology Inc","Health Care","Biotechnology"
"CLW","Clearwater Paper Corp","Materials","Paper & Forest Products"
"CLWT","Euro Tech Holdings Company Ltd","Industrials","Trading Companies & Distributors"
"CLX","Clorox Co","Consumer Staples","Household Products"
"CLXT","Calyxt Inc","Health Care","Biotechnology"
"CMA","Comerica Incorporated","Financials","Banks"
"CMBM","Cambium Networks Corp","Information Technology","Communications Equipment"
"CMC","Commercial Metals Company","Materials","Metals & Mining"
"CMCM","Cheetah Mobile Inc (ADR)","Information Technology","Software"
"CMCO","Columbus McKinnon Corp.","Industrials","Machinery"
"CMCSA","Comcast Corporation","Communication Services","Media"
"CMCT","CIM Commercial Trust Corp","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CMCTP","CIM Commercial Trust Corp","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CMD","Cantel Medical Corp.","Health Care","Health Care Equipment & Supplies"
"CME","CME Group Inc","Financials","Capital Markets"
"CMG","Chipotle Mexican Grill, Inc.","Consumer Discretionary","Hotels, Restaurants & Leisure"
"CMI","Cummins Inc.","Industrials","Machinery"
"CMLS","Cumulus Media Inc","Communication Services","Media"
"CMO","Capstead Mortgage Corporation","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"CMO-E","Capstead Mortgage Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"CMP","Compass Minerals International, Inc.","Materials","Metals & Mining"
"CMPR","Cimpress PLC","Industrials","Commercial Services & Supplies"
"CMRE","Costamare Inc","Industrials","Marine"
"CMRX","Chimerix Inc","Health Care","Biotechnology"
"CMS","CMS Energy Corporation","Utilities","Multi-Utilities"
"CMS-B","Consumers Energy Co","Utilities","Multi-Utilities"
"CMT","Core Molding Technologies, Inc.","Materials","Chemicals"
"CMTL","Comtech Telecomm. Corp.","Information Technology","Communications Equipment"
"CMU","MFS High Yield Municipal Trust","",""
"CNA","Cna Financial Corp","Financials","Insurance"
"CNBKA","Century Bancorp, Inc.","Financials","Banks"
"CNC","Centene Corp","Health Care","Health Care Providers & Services"
"CNCE","Concert Pharmaceuticals Inc","Health Care","Biotechnology"
"CNDT","Conduent Inc","Information Technology","IT Services"
"CNET","Chinanet Online Holdings Inc","Communication Services","Media"
"CNF","CNFinance Holdings Ltd","Financials","Thrifts & Mortgage Finance"
"CNFR","Conifer Holdings Inc","Financials","Insurance"
"CNK","Cinemark Holdings, Inc.","Communication Services","Entertainment"
"CNMD","CONMED Corporation","Health Care","Health Care Equipment & Supplies"
"CNNB","Cincinnati Bancorp","",""
"CNNE","Cannae Holdings Inc","Financials","Diversified Financial Services"
"CNO","CNO Financial Group Inc","Financials","Insurance"
"CNOB","ConnectOne Bancorp Inc","Financials","Banks"
"CNP","CenterPoint Energy, Inc.","Utilities","Multi-Utilities"
"CNR","Cornerstone Building Brands Inc","Industrials","Building Products"
"CNS","Cohen & Steers, Inc.","Financials","Capital Markets"
"CNSL","Consolidated Communications Holdings Inc","Communication Services","Diversified Telecommunication Services"
"CNSP","CNS Pharmaceuticals Inc","Health Care","Pharmaceuticals"
"CNST","Constellation Pharmaceuticals Inc","Health Care","Biotechnology"
"CNTG","Centogene NV","Health Care","Biotechnology"
"CNTX","Centrexion Therapeutics Corp","Health Care","Pharmaceuticals"
"CNTY","Century Casinos, Inc.","Consumer Discretionary","Hotels, Restaurants & Leisure"
"CNX","CNX Resources Corp","Energy","Oil, Gas & Consumable Fuels"
"CNXM","CNX Midstream Partners LP","Energy","Oil, Gas & Consumable Fuels"
"CNXN","PC Connection, Inc.","Information Technology","Electronic Equipment, Instruments & Components"
"CO","Global Cord Blood Corp","Health Care","Health Care Providers & Services"
"COCP","Cocrystal Pharma Inc","Health Care","Pharmaceuticals"
"CODA","Coda Octopus Group, Inc.","Information Technology","Electronic Equipment, Instruments & Components"
"CODI","Compass Diversified Holdings","Financials","Diversified Financial Services"
"CODI-A","Compass Diversified Holdings","Financials","Diversified Financial Services"
"CODI-B","Compass Diversified Holdings","Financials","Diversified Financial Services"
"CODI-C","Compass Diversified Holdings","Financials","Diversified Financial Services"
"CODX","Co-Diagnostics Inc","Health Care","Health Care Equipment & Supplies"
"COE","China Online Education Group - ADR","Consumer Discretionary","Diversified Consumer Services"
"COF","Capital One Financial Corp.","Financials","Consumer Finance"
"COFS","Choiceone Financial Services Inc","Financials","Banks"
"COG","Cabot Oil & Gas Corporation","Energy","Oil, Gas & Consumable Fuels"
"COHN","Cohen & Company Inc","Financials","Capital Markets"
"COHR","Coherent, Inc.","Information Technology","Electronic Equipment, Instruments & Components"
"COHU","Cohu, Inc.","Information Technology","Semiconductors & Semiconductor Equipment"
"COKE","Coca-Cola Consolidated Inc","Consumer Staples","Beverages"
"COLB","Columbia Banking System Inc","Financials","Banks"
"COLD","AmeriCold Realty Trust","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"COLL","Collegium Pharmaceutical Inc","Health Care","Pharmaceuticals"
"COLM","Columbia Sportswear Company","Consumer Discretionary","Textiles, Apparel & Luxury Goods"
"COMM","Commscope Holding Company Inc","Information Technology","Communications Equipment"
"CONE","CyrusOne Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CONN","Conn's Inc","Consumer Discretionary","Specialty Retail"
"COO","Cooper Companies Inc","Health Care","Health Care Equipment & Supplies"
"COOP","Mr. Cooper Group Inc","Financials","Thrifts & Mortgage Finance"
"COP","ConocoPhillips","Energy","Oil, Gas & Consumable Fuels"
"COR","CoreSite Realty Corp","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CORE","Core-Mark Holding Company, Inc.","Consumer Discretionary","Distributors"
"CORR","Corenergy Infrastructure Trust Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CORT","Corcept Therapeutics Incorporated","Health Care","Pharmaceuticals"
"COST","Costco Wholesale Corporation","Consumer Staples","Food & Staples Retailing"
"COTY","Coty Inc","Consumer Staples","Personal Products"
"COUP","Coupa Software Inc","Information Technology","Software"
"COWN","Cowen Inc","Financials","Capital Markets"
"CPA","Copa Holdings, S.A.","Industrials","Airlines"
"CPAA","Conyers Park II Acquisition Corp","",""
"CPAC","Cementos Pacasmayo ADR","Materials","Construction Materials"
"CPAH","CounterPath, Corp.","Information Technology","Software"
"CPB","Campbell Soup Company","Consumer Staples","Food Products"
"CPE","Callon Petroleum Company","Energy","Oil, Gas & Consumable Fuels"
"CPF","Central Pacific Financial Corp.","Financials","Banks"
"CPHC","Canterbury Park Holding Corp","Consumer Discretionary","Hotels, Restaurants & Leisure"
"CPHI","China Pharma Holdings, Inc.","Health Care","Pharmaceuticals"
"CPIX","Cumberland Pharmaceuticals, Inc.","Health Care","Pharmaceuticals"
"CPK","Chesapeake Utilities Corporation","Utilities","Gas Utilities"
"CPLG","CorePoint Lodging Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CPLP","Capital Product Partners L.P.","Energy","Oil, Gas & Consumable Fuels"
"CPRI","Capri Holdings Ltd","Consumer Discretionary","Textiles, Apparel & Luxury Goods"
"CPRT","Copart, Inc.","Industrials","Commercial Services & Supplies"
"CPRX","Catalyst Pharmaceuticals Inc","Health Care","Biotechnology"
"CPS","Cooper-Standard Holdings Inc","Consumer Discretionary","Auto Components"
"CPSH","CPS Technologies Corporation","Information Technology","Electronic Equipment, Instruments & Components"
"CPSI","Computer Programs & Systems, Inc.","Health Care","Health Care Technology"
"CPSS","Consumer Portfolio Services, Inc.","Financials","Consumer Finance"
"CPST","Capstone Turbine Corporation","Industrials","Electrical Equipment"
"CPT","Camden Property Trust","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"CPTA","Capitala Finance Corp","Financials","Capital Markets"
"CQP","Cheniere Energy Partners LP","Energy","Oil, Gas & Consumable Fuels"
"CR","Crane Co.","Industrials","Machinery"
"CRAI","CRA International, Inc.","Industrials","Professional Services"
"CRBP","Corbus Pharmaceuticals Holdings Inc","Health Care","Biotechnology"
"CRC","California Resources Corp","Energy","Oil, Gas & Consumable Fuels"
"CRD.A","CRAWFORD & CO CL A","Financials","Insurance"
"CRD.B","Crawford & Company","Financials","Insurance"
"CRDF","Cardiff Oncology Inc","Health Care","Biotechnology"
"CREE","Cree, Inc.","Information Technology","Semiconductors & Semiconductor Equipment"
"CREG","China Recycling Energy Corp.","Industrials","Commercial Services & Supplies"
"CRESY","Cresud S.A.C.I.F. y A. (ADR)","Real Estate","Real Estate Management & Development"
"CREX","Creative Realities Inc","Communication Services","Media"
"CRF","Cornerstone Total Return Fund Inc","",""
"CRH","CRH PLC (ADR)","Materials","Construction Materials"
"CRI","Carter's, Inc.","Consumer Discretionary","Textiles, Apparel & Luxury Goods"
"CRIS","Curis, Inc.","Health Care","Biotechnology"
"CRK","Comstock Resources Inc","Energy","Oil, Gas & Consumable Fuels"
"CRL","Charles River Laboratories Intl. Inc","Health Care","Life Sciences Tools & Services"
"CRM","salesforce.com, inc.","Information Technology","Software"
"CRMD","CorMedix Inc.","Health Care","Pharmaceuticals"
"CRMT","America's Car-Mart, Inc.","Consumer Discretionary","Specialty Retail"
"CRNC","Cerence Inc","Information Technology","Software"
"CRNT","Ceragon Networks Ltd","Information Technology","Communications Equipment"
"CRNX","Crinetics Pharmaceuticals Inc","Health Care","Biotechnology"
"CROX","Crocs, Inc.","Consumer Discretionary","Textiles, Apparel & Luxury Goods"
"CRS","Carpenter Technology Corporation","Materials","Metals & Mining"
"CRSA","Crescent Acquisition Corp","",""
"CRSP","Crispr Therapeutics AG","Health Care","Biotechnology"
"CRT","Cross Timbers Royalty Trust","Energy","Oil, Gas & Consumable Fuels"
